ID,Age,Age_Intervals,Education,Marital_Status,Income,Income_Intervals,Kidhome,Teenhome,LastPurchase,Recency_Intervals,Wines,Fruits,Meats,Fish,Sweets,Gold,total_purchases,DiscountPurchases,WebPurchases,CatalogPurchases,StorePurchases,WebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
7503,48,other,Graduate,Single,75825,other_income,0,0,40,31-60 days,1032,81,556,120.5,81,51,1921.5,0,5,8,9,4,1,0,0,0,0,0,1
4910,57,Middle-Aged,Graduate,Divorced,68743,other_income,0,0,81,61-90 days,1132,81,384,120.5,81,115,1913.5,1,11,5,13,7,0,0,0,0,0,0,0
7919,48,other,non_graduate,Together,72335,other_income,0,0,2,0-30 days,1224.625,81,556,28,21,0,1910.625,1,10,4,8,8,0,0,0,0,0,0,1
2186,47,other,non_graduate,Together,82326,other_income,0,0,30,0-30 days,938,81,556,120.5,81,126.5,1903,1,5,10,6,2,0,1,1,1,0,0,1
3010,35,other,non_graduate,Together,88420,other_income,0,0,87,61-90 days,957,81,556,99,81,126.5,1900.5,1,4,7,8,1,1,0,1,1,0,0,0
6932,83,other,non_graduate,Married,93027,other_income,0,0,77,61-90 days,1224.625,42,556,55,0,21,1898.625,0,7,10,5,2,0,0,1,0,0,0,0
10949,61,Middle-Aged,non_graduate,Divorced,72968,other_income,0,0,8,0-30 days,1092,37,556,120.5,37,55,1897.5,1,5,5,8,3,0,0,0,1,0,0,1
9010,52,Middle-Aged,non_graduate,Married,83151,other_income,0,0,80,61-90 days,968,81,556,120.5,42,126.5,1894,1,5,7,10,2,1,0,1,1,0,0,1
477,38,other,Graduate,Married,83512,other_income,0,0,31,31-60 days,1060,61,556,80,20,101,1878,1,4,7,10,1,1,0,1,1,1,0,1
6036,65,Middle-Aged,non_graduate,Together,89120,other_income,0,0,78,61-90 days,1168,81,408,72,81,55,1865,1,5,6,7,1,0,0,1,0,0,0,0
2611,65,Middle-Aged,non_graduate,Together,82576,other_income,0,0,66,61-90 days,1206,55,445,120.5,18,18,1862.5,1,2,4,12,1,0,0,1,0,0,0,0
7962,37,other,non_graduate,Single,95169,other_income,0,0,1,0-30 days,1224.625,21,449,106,20,20,1840.625,1,4,3,4,1,0,0,1,1,0,0,1
8717,49,other,non_graduate,Married,80427,other_income,0,1,56,31-60 days,1149,71,449,69,71,26,1835,1,11,8,8,5,0,0,0,0,0,0,0
3334,73,other,Graduate,Married,94642,other_income,0,0,35,31-60 days,879,81,556,106,81,126.5,1829.5,0,5,7,9,1,0,0,1,1,0,0,0
4597,54,Middle-Aged,non_graduate,Together,82072,other_income,0,0,67,61-90 days,889,55,556,120.5,81,126.5,1828,1,3,2,13,1,0,0,0,0,0,0,0
6977,50,other,Graduate,Together,75702,other_income,0,1,87,61-90 days,1073,0,556,120.5,37,37,1823.5,1,10,5,13,6,0,0,1,0,0,0,0
4530,76,other,non_graduate,Widow,78427,other_income,0,0,36,31-60 days,972,19,556,120.5,26,126.5,1820,3,3,7,10,3,0,0,0,1,0,0,1
4248,64,Middle-Aged,non_graduate,Single,98777,other_income,0,0,23,0-30 days,1000,19,556,120.5,81,38,1814.5,0,4,6,9,1,0,1,0,0,0,0,0
7451,64,Middle-Aged,non_graduate,Single,98777,other_income,0,0,23,0-30 days,1000,19,556,120.5,81,38,1814.5,0,4,6,9,1,0,1,0,0,0,0,0
3139,42,other,non_graduate,Single,74116,other_income,0,0,53,31-60 days,871,81,556,120.5,55,126.5,1810,1,4,4,10,2,0,1,0,0,0,0,0
5831,57,Middle-Aged,Graduate,Married,77870,other_income,0,1,93,More than 90 days,1017,50,500,65,50,126.5,1808.5,3,5,5,5,8,0,1,0,1,0,0,1
6049,42,other,non_graduate,Together,73450,other_income,0,0,85,61-90 days,1142,51,415,90,69,37,1804,1,7,8,11,3,1,0,0,1,0,0,0
8164,46,other,non_graduate,Married,82170,other_income,0,0,13,0-30 days,1023,81,556,49,55,37,1801,1,5,6,7,2,0,0,0,0,0,0,0
1204,54,Middle-Aged,non_graduate,Married,67536,other_income,0,1,45,31-60 days,1224.625,0,447,23,71,35,1800.625,3,11,5,11,8,0,0,0,1,0,0,0
6260,69,Middle-Aged,non_graduate,Together,82384,other_income,0,0,55,31-60 days,984,51,432,120.5,81,126.5,1795,1,3,10,13,1,0,0,1,0,0,0,1
6072,54,Middle-Aged,non_graduate,Single,75345,other_income,0,0,16,0-30 days,918,57,556,99,38,126.5,1794.5,1,5,8,6,3,0,0,0,1,0,0,1
8867,36,other,non_graduate,Married,67546,other_income,0,0,90,61-90 days,864,81,556,120.5,38,126.5,1786,1,4,10,5,3,0,0,0,0,0,0,0
2747,36,other,non_graduate,Married,67546,other_income,0,0,90,61-90 days,864,81,556,120.5,38,126.5,1786,1,4,10,5,3,0,0,0,0,0,0,0
2781,43,other,Graduate,Single,72066,other_income,0,0,55,31-60 days,1003,34,536,120.5,51,34,1778.5,1,4,6,6,2,0,0,1,1,0,0,1
9826,52,Middle-Aged,non_graduate,Single,86857,other_income,0,0,96,More than 90 days,899,81,556,120.5,81,40,1777.5,1,5,6,10,2,0,0,0,0,0,0,1
5830,52,Middle-Aged,non_graduate,Single,86857,other_income,0,0,96,More than 90 days,899,81,556,120.5,81,40,1777.5,1,5,6,10,2,0,0,0,0,0,0,1
9298,77,other,non_graduate,Together,81574,other_income,0,0,89,61-90 days,1224.625,0,465,46,35,0,1770.625,1,4,5,8,1,0,1,1,0,0,0,0
9058,69,Middle-Aged,Graduate,Widow,79800,other_income,0,0,65,61-90 days,1060,21,530,32,0,126.5,1769.5,1,5,10,5,3,1,0,1,1,0,0,1
2223,59,Middle-Aged,non_graduate,Divorced,64176,other_income,0,1,52,31-60 days,1215,33,249,64,81,126.5,1768.5,8,8,9,8,6,0,0,0,0,0,0,0
4299,64,Middle-Aged,Graduate,Together,70971,other_income,0,1,28,0-30 days,1001,17,556,93,81,17,1765,7,11,10,5,7,0,0,0,0,0,0,1
2894,39,other,Graduate,Single,72903,other_income,0,0,74,61-90 days,1067,81,556,0,19,39,1762,1,7,5,8,4,0,1,1,1,0,0,1
1990,50,other,non_graduate,Single,63159,other_income,0,0,74,61-90 days,965,34,556,89,81,37,1762,1,3,5,8,3,1,0,0,0,0,0,0
10909,76,other,Graduate,Married,92344,other_income,0,0,9,0-30 days,992,24,556,51,19,119,1761,0,5,10,5,1,1,0,1,0,0,0,0
3698,41,other,Graduate,Together,78687,other_income,0,0,13,0-30 days,817,81,556,120.5,55,126.5,1756,1,4,6,8,2,0,0,1,0,0,0,1
5955,62,Middle-Aged,Graduate,Together,72025,other_income,0,0,27,0-30 days,833,33,549,120.5,81,126.5,1743,1,4,3,8,3,0,0,0,0,0,0,0
3074,40,other,non_graduate,Married,70643,other_income,0,0,66,61-90 days,1218,81,304,23,81,33,1740,1,5,8,4,6,0,0,0,0,0,0,1
313,56,Middle-Aged,Graduate,Widow,73455,other_income,0,0,98,More than 90 days,901,61,556,120.5,81,20,1739.5,1,6,5,10,3,0,1,0,0,0,0,0
380,70,Middle-Aged,Graduate,Divorced,64497,other_income,0,1,17,0-30 days,1170,48,320,42,32,126.5,1738.5,5,11,4,9,8,1,0,0,0,0,0,1
3711,80,other,non_graduate,Married,80184,other_income,0,0,19,0-30 days,1035,81,556,25,38,0,1735,1,6,3,10,3,0,0,1,1,0,0,0
1103,48,other,non_graduate,Married,81929,other_income,1,0,60,31-60 days,1224.625,55,278,49,0,126.5,1733.125,2,4,4,10,6,1,0,1,0,0,0,1
6565,75,other,non_graduate,Married,76995,other_income,0,1,91,More than 90 days,1012,80,498,0,16,126.5,1732.5,2,11,4,9,5,0,0,0,1,0,0,0
7999,69,Middle-Aged,non_graduate,Together,75261,other_income,0,0,17,0-30 days,1224.625,17,413,23,34,17,1728.625,1,5,6,5,2,0,1,1,0,0,0,1
6292,38,other,non_graduate,Married,82333,other_income,0,0,60,31-60 days,1224.625,0,359,46,81,17,1727.625,1,4,3,10,2,0,0,1,0,0,0,1
4994,81,other,non_graduate,Single,77598,other_income,0,0,53,31-60 days,1193,33,281,120.5,66,33,1726.5,1,7,5,13,3,0,0,1,0,0,0,0
4278,41,other,non_graduate,Single,87188,other_income,0,0,73,61-90 days,910,81,556,49,74,55,1725,1,10,2,6,3,0,0,0,0,0,0,1
6749,58,Middle-Aged,Graduate,Single,86358,other_income,1,1,78,61-90 days,957,47,494,82,47,95,1722,4,5,3,6,8,0,0,0,0,0,0,0
8545,70,Middle-Aged,Graduate,Divorced,85683,other_income,0,0,6,0-30 days,1224.625,17,311,45,69,51,1717.625,1,2,4,10,1,0,1,1,1,1,0,1
4702,60,Middle-Aged,Graduate,Single,61839,other_income,0,0,20,0-30 days,1000,81,379,120.5,17,120,1717.5,1,4,8,4,8,0,0,0,0,0,0,0
590,54,Middle-Aged,non_graduate,Divorced,78579,other_income,0,0,35,31-60 days,816,66,549,120.5,66,99,1716.5,1,5,6,4,3,0,0,0,0,0,0,1
7431,33,other,non_graduate,Single,68126,other_income,0,0,40,31-60 days,1224.625,17,311,23,51,86,1712.625,1,7,4,5,9,0,1,0,0,0,0,1
821,32,other,non_graduate,Single,92859,other_income,0,0,46,31-60 days,962,61,556,52,61,20,1712,1,5,4,12,2,0,0,0,0,0,0,0
8278,34,other,non_graduate,Married,74214,other_income,0,0,3,0-30 days,863,81,547,86,81,33,1691,1,8,2,5,5,0,0,0,0,0,0,0
2176,52,Middle-Aged,Graduate,Married,80134,other_income,1,0,40,31-60 days,1218,16,272,104,0,80,1690,2,5,3,6,6,0,1,1,1,0,0,1
9121,52,Middle-Aged,Graduate,Married,80134,other_income,1,0,40,31-60 days,1218,16,272,104,0,80,1690,2,5,3,6,6,0,1,1,1,0,0,1
697,55,Middle-Aged,Graduate,Together,74918,other_income,0,0,78,61-90 days,972,59,556,25,19,59,1690,1,5,9,6,3,0,0,1,0,0,0,0
3174,65,Middle-Aged,Graduate,Together,87771,other_income,0,1,61,61-90 days,1224.625,38,287,50,57,33,1689.625,1,5,10,4,6,0,1,1,1,1,0,1
5536,65,Middle-Aged,Graduate,Together,87771,other_income,0,1,61,61-90 days,1224.625,38,287,50,57,33,1689.625,1,5,10,4,6,0,1,1,1,1,0,1
5558,70,Middle-Aged,non_graduate,Single,90933,other_income,0,0,90,61-90 days,1020,31,430,62,63,79,1685,1,4,6,4,1,0,0,1,0,0,0,0
2147,55,Middle-Aged,Graduate,Together,76653,other_income,0,0,91,More than 90 days,736,63,556,120.5,81,126,1682.5,1,4,7,11,2,0,0,1,1,0,0,0
4543,44,other,Graduate,Married,82497,other_income,0,0,32,31-60 days,777,81,556,120.5,21,126.5,1682,1,2,7,9,4,0,0,1,0,0,0,0
9743,69,Middle-Aged,Graduate,Married,76998,other_income,0,1,85,61-90 days,1224.625,81,161,69,35,107,1677.625,2,11,8,8,6,0,0,1,0,0,0,0
5667,60,Middle-Aged,non_graduate,Married,60896,other_income,0,1,90,61-90 days,1013,30,399,60,46,126.5,1674.5,3,9,10,4,6,0,0,0,0,0,0,1
10164,66,Middle-Aged,Graduate,Single,94472,other_income,0,1,75,61-90 days,1017,33,417,108,81,16,1672,1,5,5,5,5,0,1,1,0,0,0,0
4686,62,Middle-Aged,non_graduate,Widow,82571,other_income,0,0,28,0-30 days,861,31,556,62,81,79,1670,0,6,5,13,2,0,0,1,0,0,0,0
5547,42,other,non_graduate,Married,84169,other_income,0,0,9,0-30 days,1224.625,19,403,0,19,0,1665.625,1,7,6,6,3,0,1,1,0,0,0,1
8362,42,other,non_graduate,Married,84169,other_income,0,0,9,0-30 days,1224.625,19,403,0,19,0,1665.625,1,7,6,6,3,0,1,1,0,0,0,1
3725,63,Middle-Aged,non_graduate,Single,84865,other_income,0,0,1,0-30 days,1224.625,16,349,43,16,16,1664.625,1,2,4,9,4,0,1,1,1,1,0,1
3979,41,other,non_graduate,Divorced,90687,other_income,0,0,98,More than 90 days,982,17,556,23,34,51,1663,1,6,2,8,2,0,0,1,0,0,0,1
7627,49,other,non_graduate,Married,92163,other_income,0,0,25,0-30 days,817,81,556,106,81,20,1661,0,5,10,5,2,0,0,1,1,0,0,1
9560,59,Middle-Aged,Graduate,Together,83003,other_income,0,0,18,0-30 days,856,61,556,40,25,122,1660,1,7,6,8,3,0,0,1,0,0,0,1
7899,72,other,non_graduate,Married,77610,other_income,0,1,70,61-90 days,1224.625,33,332,21,33,16,1659.625,2,4,7,4,7,0,0,0,0,0,0,0
1127,51,Middle-Aged,non_graduate,Married,85844,other_income,0,0,62,61-90 days,938,19,556,25,81,38,1657,1,6,6,7,2,0,0,1,0,0,0,0
1544,57,Middle-Aged,non_graduate,Divorced,81380,other_income,0,0,51,31-60 days,741,68,556,120.5,68,103,1656.5,1,4,2,10,2,0,0,0,0,0,0,0
1172,41,other,non_graduate,Married,92491,other_income,0,0,71,61-90 days,979,44,556,29,25,22,1655,1,7,5,12,3,0,1,1,1,0,0,1
500,47,other,Graduate,Together,96876,other_income,0,0,79,61-90 days,908,43,556,40,81,21,1649,1,7,7,9,2,0,1,1,1,0,0,1
569,33,other,Graduate,Single,90273,other_income,0,0,32,31-60 days,704,81,556,120,74,111,1646,1,5,6,7,2,0,1,1,1,0,0,1
11088,53,Middle-Aged,non_graduate,Together,78642,other_income,0,1,83,61-90 days,1224.625,0,322,46,35,17,1644.625,1,4,9,4,6,0,0,0,0,0,0,0
10140,41,other,non_graduate,Together,70123,other_income,0,0,27,0-30 days,1224.625,0,396,23,0,0,1643.625,1,5,7,4,3,0,1,0,0,1,0,0
5538,49,other,Graduate,Divorced,83829,other_income,0,0,78,61-90 days,897,81,430,120.5,81,27,1636.5,0,4,7,6,1,1,0,1,1,0,0,1
3910,49,other,Graduate,Divorced,83829,other_income,0,0,78,61-90 days,897,81,430,120.5,81,27,1636.5,0,4,7,6,1,1,0,1,1,0,0,1
7274,67,Middle-Aged,Graduate,Married,78618,other_income,0,0,87,61-90 days,736,81,556,120.5,81,61,1635.5,1,4,7,10,2,0,1,0,0,0,0,0
5848,54,Middle-Aged,Graduate,Together,81205,other_income,0,0,43,31-60 days,724,74,556,97,55,126.5,1632.5,1,5,6,7,2,1,0,1,0,1,0,1
9757,52,Middle-Aged,Graduate,Together,84906,other_income,0,0,98,More than 90 days,997,15,414,99,30,76,1631,1,5,6,12,2,0,1,1,0,1,0,0
2088,52,Middle-Aged,Graduate,Together,84906,other_income,0,0,98,More than 90 days,997,15,414,99,30,76,1631,1,5,6,12,2,0,1,1,0,1,0,0
1650,64,Middle-Aged,non_graduate,Married,81843,other_income,0,0,13,0-30 days,779,81,537,34,69,126.5,1626.5,1,5,9,12,3,0,0,0,0,0,0,0
4637,70,Middle-Aged,non_graduate,Single,74637,other_income,0,0,73,61-90 days,960,64,464,120.5,0,16,1624.5,1,6,9,9,3,0,0,0,1,0,0,0
3262,66,Middle-Aged,Graduate,Single,68281,other_income,0,0,31,31-60 days,995,81,417,42,48,41,1624,1,2,9,13,5,0,0,0,0,0,0,1
8029,36,other,non_graduate,Single,90247,other_income,0,0,27,0-30 days,1184,32,352,21,16,16,1621,1,3,4,7,1,0,1,1,1,0,0,1
7875,75,other,Graduate,Married,72025,other_income,0,0,46,31-60 days,967,0,556,43,50,0,1616,1,4,8,13,2,0,1,1,1,0,0,1
2379,71,other,Graduate,Single,69267,other_income,0,0,31,31-60 days,778,44,499,95,73,126.5,1615.5,2,3,4,5,7,0,0,0,0,0,0,1
6274,76,other,non_graduate,Married,83790,other_income,0,0,81,61-90 days,1076,16,417,42,48,16,1615,1,8,10,6,3,0,1,1,0,0,0,0
531,70,Middle-Aged,non_graduate,Divorced,57333,Medium,0,1,55,31-60 days,941,14,397,76,58,126.5,1612.5,11,8,5,9,6,0,0,0,0,0,0,1
3919,48,other,non_graduate,Single,72309,other_income,0,0,64,61-90 days,960,0,556,50,38,0,1604,1,5,6,8,3,0,0,0,1,0,0,1
10965,69,Middle-Aged,Graduate,Together,76005,other_income,0,0,72,61-90 days,983,20,389,120.5,50,40,1602.5,1,3,5,13,6,0,0,0,1,0,0,0
2532,37,other,non_graduate,Single,73454,other_income,0,0,95,More than 90 days,982,73,351,56,14,126.5,1602.5,1,2,4,6,5,1,0,0,0,0,0,0
9451,59,Middle-Aged,Graduate,Married,73538,other_income,0,1,92,More than 90 days,811,76,428,99,81,107,1602,3,10,4,9,7,0,0,0,0,0,0,0
5031,50,other,Graduate,Together,83145,other_income,0,0,14,0-30 days,777,35,556,39,81,114,1602,1,5,9,11,2,0,0,1,0,0,0,1
9212,62,Middle-Aged,non_graduate,Married,72828,other_income,0,1,17,0-30 days,1205,0,235,19,14,126.5,1599.5,6,6,3,13,7,0,0,0,0,0,0,0
9242,34,other,Graduate,Single,64509,other_income,0,0,19,0-30 days,836,81,556,24,25,77,1599,1,6,3,9,4,1,0,0,0,0,0,1
3428,33,other,non_graduate,Together,68682,other_income,0,0,56,31-60 days,919,0,505,99,30,45,1598,1,4,9,10,2,0,0,0,0,0,0,0
4500,33,other,non_graduate,Together,68682,other_income,0,0,56,31-60 days,919,0,505,99,30,45,1598,1,4,9,10,2,0,0,0,0,0,0,0
3426,49,other,Graduate,Divorced,70300,other_income,1,0,89,61-90 days,1045,61,338,60,46,46,1596,3,5,5,13,8,0,0,0,0,0,0,0
3104,63,Middle-Aged,Graduate,Single,82332,other_income,0,0,89,61-90 days,830,59,556,51,79,19,1594,1,5,3,12,2,0,0,1,0,0,0,1
9260,79,other,non_graduate,Married,70356,other_income,0,0,20,0-30 days,1224.625,16,249,43,16,33,1581.625,2,10,6,9,6,0,0,0,0,0,0,0
4943,71,other,Graduate,Married,70503,other_income,0,0,73,61-90 days,1224.625,33,216,0,33,66,1572.625,1,2,4,9,6,0,1,1,0,0,0,0
460,52,Middle-Aged,non_graduate,Married,79930,other_income,0,0,72,61-90 days,792,81,556,67,51,17,1564,1,3,5,8,2,0,0,0,0,0,0,0
1357,54,Middle-Aged,Graduate,Together,74854,other_income,1,2,90,61-90 days,856,59,487,58,29,73,1562,7,2,5,5,5,0,0,0,0,0,0,0
10936,59,Middle-Aged,Graduate,Married,72190,other_income,0,0,79,61-90 days,597,81,556,120.5,81,126.5,1562,1,5,6,4,3,0,0,0,0,0,0,0
9499,70,Middle-Aged,Graduate,Married,93404,other_income,1,2,97,More than 90 days,1224.625,15,287,20,0,15,1561.625,3,3,4,7,5,0,1,1,0,0,0,0
6982,48,other,Graduate,Married,74068,other_income,0,0,14,0-30 days,783,30,537,120.5,76,15,1561.5,1,4,10,9,2,0,0,0,0,0,0,0
10727,54,Middle-Aged,non_graduate,Married,69084,other_income,1,0,43,31-60 days,1181,81,199,39,30,30,1560,2,7,3,13,8,0,0,0,0,0,0,0
5299,54,Middle-Aged,non_graduate,Married,69084,other_income,1,0,43,31-60 days,1181,81,199,39,30,30,1560,2,7,3,13,8,0,0,0,0,0,0,0
9493,44,other,non_graduate,Single,76412,other_income,0,0,15,0-30 days,840,53,556,23,71,17,1560,1,5,4,8,3,0,0,1,1,0,0,1
830,37,other,non_graduate,Single,74004,other_income,0,0,5,0-30 days,784,48,556,42,81,48,1559,1,4,6,4,3,0,0,1,1,0,0,1
8931,38,other,Graduate,Together,83033,other_income,1,0,82,61-90 days,812,81,431,120.5,81,33,1558.5,1,11,4,10,5,0,0,0,1,0,0,0
2437,35,other,Graduate,Married,51371,Medium,0,0,69,61-90 days,861,81,461,60,30,61,1554,1,6,5,12,3,0,1,0,1,0,0,0
2407,42,other,Graduate,Married,69109,other_income,0,0,10,0-30 days,823,25,459,120.5,29,95,1551.5,1,6,6,7,4,0,0,1,0,0,0,1
9064,42,other,Graduate,Married,69109,other_income,0,0,10,0-30 days,823,25,459,120.5,29,95,1551.5,1,6,6,7,4,0,0,1,0,0,0,1
5524,67,Middle-Aged,Graduate,Single,58138,Medium,0,0,58,31-60 days,635,81,546,120.5,81,88,1551.5,3,8,10,4,7,0,0,0,0,0,0,1
3138,68,Middle-Aged,Graduate,Single,91249,other_income,0,0,84,61-90 days,1224.625,27,119,71,81,27,1549.625,0,7,9,6,4,0,1,1,1,1,0,1
2975,48,other,Graduate,Together,85606,other_income,0,1,89,61-90 days,717,42,556,120.5,30,84,1549.5,2,6,7,9,3,0,0,0,1,0,0,0
6262,62,Middle-Aged,non_graduate,Single,72217,other_income,0,0,93,More than 90 days,816,42,450,55,56,126.5,1545.5,1,3,10,8,2,0,0,0,0,0,0,0
7441,51,Middle-Aged,Graduate,Divorced,71128,other_income,1,0,80,61-90 days,958,81,447,20,0,31,1537,3,2,10,12,7,0,0,0,0,0,0,0
9606,59,Middle-Aged,non_graduate,Married,69969,other_income,0,0,64,61-90 days,882,29,514,38,29,44,1536,1,4,2,6,3,0,0,1,1,0,0,1
2612,37,other,Graduate,Married,75794,other_income,0,0,33,31-60 days,754,81,556,63,32,48,1534,1,7,5,12,3,0,0,0,1,0,0,0
4356,53,Middle-Aged,Graduate,Together,71819,other_income,0,1,70,61-90 days,1224,28,140,0,14,126.5,1532.5,3,3,3,5,6,0,1,1,0,0,0,0
5153,57,Middle-Aged,non_graduate,Married,77766,other_income,0,1,97,More than 90 days,1004,59,265,115,59,27,1529,2,11,10,11,6,1,0,0,0,0,0,1
4127,57,Middle-Aged,non_graduate,Married,77766,other_income,0,1,97,More than 90 days,1004,59,265,115,59,27,1529,2,11,10,11,6,1,0,0,0,0,0,1
3667,55,Middle-Aged,Graduate,Married,80952,other_income,0,0,20,0-30 days,778,81,556,41,27,44,1527,1,8,5,11,8,0,1,1,1,0,0,1
10619,30,other,Graduate,Single,95529,other_income,0,0,29,0-30 days,770,29,556,120.5,27,24,1526.5,1,7,3,7,3,0,0,1,0,0,0,1
4789,71,other,Graduate,Together,80812,other_income,0,0,95,More than 90 days,769,22,500,120.5,81,33,1525.5,1,4,8,5,2,1,0,1,1,0,0,0
4676,73,other,non_graduate,Widow,73705,other_income,0,2,86,61-90 days,612,81,520,120.5,81,107,1521.5,2,9,6,8,5,0,0,0,0,0,0,0
7832,65,Middle-Aged,non_graduate,Married,77520,other_income,0,1,30,0-30 days,940,44,396,0,81,58,1519,1,8,7,7,4,1,0,1,1,0,0,1
6343,65,Middle-Aged,Graduate,Married,79823,other_income,0,1,6,0-30 days,835,73,380,114,73,43,1518,1,6,9,7,2,0,1,0,0,0,0,0
1215,46,other,Graduate,Together,70440,other_income,0,0,49,31-60 days,690,81,499,76,81,88,1515,1,5,10,7,3,0,0,0,1,0,0,0
6050,49,other,non_graduate,Married,57036,Medium,0,1,33,31-60 days,1171,43,219,19,14,47,1513,4,6,3,13,9,1,0,0,0,0,0,0
1139,40,other,non_graduate,Married,73356,other_income,0,0,56,31-60 days,1050,14,322,0,14,112,1512,1,5,10,5,2,1,0,1,1,0,0,1
5628,42,other,Graduate,Together,61416,other_income,0,0,25,0-30 days,848,81,323,120.5,61,78,1511.5,1,10,3,10,6,1,0,0,0,0,0,0
3560,72,other,Graduate,Together,83844,other_income,0,0,57,31-60 days,901,31,345,75,31,126.5,1509.5,1,4,4,11,1,0,0,1,0,0,0,0
241,72,other,Graduate,Together,83844,other_income,0,0,57,31-60 days,901,31,345,75,31,126.5,1509.5,1,4,4,11,1,0,0,1,0,0,0,0
7521,72,other,Graduate,Together,83844,other_income,0,0,57,31-60 days,901,31,345,75,31,126.5,1509.5,1,4,4,11,1,0,0,1,0,0,0,0
6320,48,other,non_graduate,Single,70893,other_income,0,0,42,31-60 days,768,44,556,77,44,14,1503,1,6,6,10,3,0,0,0,0,0,0,0
4394,59,Middle-Aged,non_graduate,Married,81051,other_income,0,0,43,31-60 days,1142,29,249,38,29,14,1501,1,5,5,12,2,0,1,1,0,0,0,0
9209,53,Middle-Aged,non_graduate,Together,80573,other_income,0,0,85,61-90 days,829,81,430,60,81,15,1496,1,4,6,13,2,0,0,0,0,0,0,0
6417,53,Middle-Aged,non_graduate,Together,80573,other_income,0,0,85,61-90 days,829,81,430,60,81,15,1496,1,4,6,13,2,0,0,0,0,0,0,0
3009,62,Middle-Aged,non_graduate,Widow,71670,other_income,0,0,8,0-30 days,1224.625,16,128,0,0,126.5,1495.125,1,5,3,6,6,0,1,1,0,1,0,1
3483,66,Middle-Aged,Graduate,Married,48192,Medium,0,0,76,61-90 days,1039,43,204,120.5,58,29,1493.5,3,2,8,12,8,0,1,0,1,1,0,1
